,brand,model,model_target_ratings
955,midea/美的, WBL1022S,
956,midea/美的, MJ-WBL2531H,"{'服务': {'客服': 64.46}, '款式': {'颜色': 73.98}, '质量': {'声音': 64.4}}"
957,midea/美的, WBL2531H,"{'功能': {'一块': 62.15, '丸子': 52.01, '冰糖': 47.9, '出汁': 67.31, '功率': 72.92, '咸菜': 0.0, '图案': 7.81, '大米': 28.54, '小米': 36.79, '干粉': 31.83, '搅碎': 61.12, '效率': 53.93, '果汁': 92.67, '果肉': 73.39, '果酱': 35.84, '梨子': 48.89, '榨汁': 92.59, '橙子': 43.75, '橙汁': 35.43, '水果': 75.7, '渣渣': 52.43, '煮得': 8.78, '用途': 74.31, '碎肉': 46.36, '米糊': 78.92, '粗粮': 19.89, '紫薯': 21.11, '绞肉': 87.17, '肉末': 44.5, '肉松': 52.2, '肉馅': 75.61, '芝麻': 68.33, '苹果': 40.0, '茯苓': 0.0, '菜汁': 38.28, '蔬菜': 61.63, '西瓜': 42.47, '设备': 45.16, '豆浆': 86.93, '豆渣': 63.11, '豆类': 31.0, '转数': 34.54, '转速': 78.79, '辅食': 75.09, '雪梨': 16.14, '食材': 41.22, '食物': 63.16, '饭菜': 26.39, '饺子': 47.89, '香蕉': 51.6, '不方便': 16.14, '八宝粥': 14.62, '切水果': 0.0, '土豆泥': 48.09, '很给力': 78.69, '果汁机': 70.21, '榨汁机': 92.49, '橘子汁': 31.43, '水果汁': 69.44, '番茄汁': 46.06, '研磨机': 61.11, '绞肉机': 66.88, '胡萝卜': 43.11, '芒果汁': 43.72, '花生米': 52.58, '苹果汁': 81.89, '苹果泥': 64.89, '葡萄汁': 39.91, '西兰花': 36.49, '西瓜汁': 74.05, '西红柿': 43.28, '辣椒面': 58.06, '过滤器': 0.0, '过滤网': 46.77, '速度快': 81.76, '一段时间': 41.99, '工作效率': 52.35, '胡萝卜汁': 39.87, '过滤出来': 0.0}, '服务': {'亲们': 71.32, '包装': 98.76, '卖家': 85.63, '好评': 86.72, '客户': 76.54, '客服': 92.43, '店家': 82.15, '态度': 94.9, '换货': 0.0, '果泥': 81.74, '淘宝': 66.56, '箱子': 0.0, '包装箱': 68.13, '实体店': 52.16, '老客户': 6.83, '说明书': 71.31, '售后服务': 54.51, '有问必答': 52.16, '服务态度': 96.43, '服务水平': 0.0, '问题解答': 31.85}, '款式': {'分量': 52.1, '塑料': 51.88, '外型': 73.36, '外形': 91.29, '外表': 65.29, '外貌': 0.0, '大小': 82.16, '容积': 48.34, '手感': 75.18, '按键': 29.2, '机身': 71.79, '样式': 89.48, '款式': 92.37, '色差': 34.05, '色彩': 37.7, '蓝色': 53.45, '颜值': 96.84, '颜色': 100.0, '外观美': 43.68, '容量大': 63.1, '很漂亮': 98.77, '淡蓝色': 0.0, '高大尚': 34.34, '外观设计': 76.29}, '质量': {'刀头': 83.12, '刀子': 58.8, '吸盘': 77.59, '商品': 57.91, '噪声': 66.17, '噪音': 93.18, '声响': 36.68, '声音': 98.6, '太吵': 0.0, '奇葩': 0.0, '好货': 50.88, '实物': 83.49, '工艺': 69.91, '底座': 77.57, '底盘': 48.7, '开关': 77.6, '强度': 9.1, '很响': 23.1, '很稳': 50.75, '性能': 81.97, '挺好': 94.38, '操音': 0.0, '料子': 31.88, '杂音': 60.32, '标识': 12.28, '样品': 35.6, '次品': 0.0, '毛巾': 0.0, '气味': 36.48, '浓度': 8.1, '滤网': 43.9, '物美': 78.2, '环保': 52.92, '用料': 61.59, '电源': 42.43, '电线': 27.91, '皮圈': 0.0, '盖子': 0.0, '粗细': 26.36, '细点': 40.21, '罐子': 45.25, '自然': 42.57, '质量': 99.23, '退掉': 0.0, '零件': 27.32, '塑料味': 0.0, '实用性': 82.35, '密封圈': 0.0, '电源线': 48.05, '稳定性': 68.21, '谢谢你': 0.0, '退换货': 0.0, '完好无缺': 42.66, '质量上乘': 35.72}}"
958,midea/美的, WBL25B36,"{'功能': {'果汁': 54.68, '水果': 58.73, '效率高': 38.2, '苹果泥': 47.61}, '服务': {'包装': 65.34, '态度': 63.51}, '款式': {'颜色': 59.08}, '质量': {'声音': 64.73, '挺好': 53.09, '质量': 62.22}}"
959,midea/美的, 美的破壁机,"{'功能': {'功率': 55.71, '果汁': 30.66, '米糊': 54.32, '豆浆': 79.36, '速度快': 54.81}, '服务': {'包装': 69.84, '卖家': 31.49, '好评': 50.44, '客服': 51.74, '态度': 52.62}, '款式': {'杯底': 19.91, '金额': 0.0, '高大尚': 5.78, '外观设计': 53.19}, '质量': {'噪声': 66.65, '噪音': 50.37, '声音': 83.05, '太吵': 0.0, '挺好': 66.62, '玻璃': 52.35, '级别': 8.98, '质量': 62.39}}"
960,milate/美莱特,MS-1,"{'功能': {'奶茶': 26.25, '赖用': 0.0, '转速': 56.43}, '服务': {'包装': 70.02, '卖家': 54.49, '客服': 64.69, '态度': 63.74, '售后服务': 55.15, '服务态度': 69.33}, '款式': {'很漂亮': 59.5}, '质量': {'噪音': 67.56, '声音': 51.18, '开关': 57.37, '挺好': 66.88, '质量': 76.72}}"
961,minimei,MM-201,"{'功能': {'早饭': 7.89, '果汁': 71.47, '果肉': 55.54, '梨汁': 47.47, '榨汁': 79.91, '橙子': 45.7, '水果': 59.28, '果汁机': 47.91, '榨汁机': 81.0}, '服务': {'亲们': 51.47, '包装': 78.93, '卖家': 74.29, '客服': 64.92, '态度': 68.32, '换货': 0.0, '店主人': 45.86, '服务态度': 69.53}, '款式': {'白色': 57.28, '颜值': 63.57, '颜色': 85.49, '外观设计': 54.2, '美观大方': 50.39}, '质量': {'刀头': 62.16, '声音': 45.41, '实物': 57.57, '挺好': 67.15, '玻璃': 74.85, '用料': 62.33, '质量': 81.6, '塑料杯': 60.18, '密闭性': 38.1}}"
962,murenking/牧人王,H19,"{'功能': {'功率': 42.19, '打蛋': 49.23}, '质量': {'噪音': 67.96, '声音': 64.89, '质量': 50.06}}"
963,nathome/北欧欧慕,NJB103SA,"{'功能': {'冰糖': 50.67, '剁肉': 0.0, '功率': 85.86, '土豆': 48.02, '山药': 7.74, '打蛋': 36.8, '早餐': 47.35, '果汁': 82.79, '果肉': 39.26, '果酱': 39.23, '核桃': 30.73, '桃泥': 19.89, '梨汁': 48.46, '榨汁': 53.58, '橙汁': 51.65, '水果': 59.81, '漏勺': 0.0, '牛肉': 28.78, '米糊': 74.49, '紫薯': 36.49, '绞肉': 88.23, '肉末': 46.88, '肉松': 72.78, '肉肉': 49.16, '肉质': 31.76, '肉馅': 68.31, '芝麻': 37.72, '苹果': 76.16, '菜泥': 60.49, '蔬菜': 50.37, '虾皮': 39.19, '蛋清': 34.32, '蛋糕': 31.68, '西瓜': 44.79, '豆渣': 48.86, '转速': 56.92, '辅食': 86.99, '雪梨': 25.23, '食材': 36.57, '食物': 75.09, '饺子': 50.52, '香瓜': 0.0, '冰激凌': 11.88, '功能性': 30.13, '午餐肉': 12.03, '土豆泥': 68.28, '打蛋器': 51.0, '榨汁机': 74.35, '橘子汁': 39.76, '水果汁': 62.39, '红豆沙': 8.26, '胡萝卜': 69.36, '花生酱': 34.63, '苹果泥': 82.94, '菠萝汁': 64.88, '蔬菜泥': 66.86, '西兰花': 44.18, '西瓜汁': 66.98, '过滤网': 38.45, '速度快': 72.17, '饺子馅': 47.05, '香蕉泥': 46.86, '黑芝麻': 35.23, '省时省力': 65.05}, '服务': {'包装': 93.1, '卖家': 79.07, '好评': 69.4, '客户': 30.77, '客服': 90.5, '差评': 0.0, '店家': 84.67, '态度': 90.54, '果泥': 79.13, '盒子': 0.0, '赠品': 82.12, '链接': 23.14, '外包装': 37.0, '说明书': 57.09, '售后服务': 70.65, '有问必答': 53.4, '服务到位': 24.13, '服务态度': 89.34, '热情周到': 39.53}, '款式': {'体积': 72.05, '分量': 52.8, '塑料': 52.49, '外表': 48.04, '大小': 79.79, '手感': 80.48, '按键': 41.27, '机身': 52.01, '杯底': 31.02, '样式': 73.31, '档位': 33.78, '白色': 40.55, '蓝色': 8.0, '表面': 7.69, '颜值': 95.58, '颜色': 90.33, '黑色': 19.44, '外观上': 6.43, '很漂亮': 72.67, '外观设计': 55.17}, '质量': {'刀头': 62.74, '刀子': 63.32, '划痕': 16.74, '压坏': 0.0, '厨房': 38.87, '商品': 58.57, '噪声': 71.27, '噪音': 50.7, '声音': 89.79, '宝物': 0.0, '实物': 70.53, '开关': 53.71, '成品': 58.33, '挺好': 86.25, '档次': 6.25, '气味': 51.16, '滤网': 38.03, '玻璃': 53.66, '瑕疵': 13.71, '用料': 42.46, '电线': 45.97, '盖子': 0.0, '细度': 7.54, '质量': 90.06, '道具': 20.55, '零件': 29.37, '不锈钢': 56.77, '削皮刀': 9.1, '塑料味': 0.0, '安全性': 49.68, '手指头': 0.0, '朋友们': 49.76}}"
964,panasonic/松下, MK-GB1,"{'服务': {'买家': 57.65}, '质量': {'商品': 59.22, '噪音': 68.16}}"
965,panasonic/松下, MK-GH1,"{'功能': {'功率': 68.04, '奶油': 34.26, '手打': 35.24, '打蛋': 50.26, '搅面': 0.0, '蛋糕': 38.35, '打蛋器': 63.19, '速度快': 66.76}, '服务': {'包装': 70.19, '卖家': 33.3, '差评': 0.0, '态度': 34.85, '外包装': 43.0}, '款式': {'机身': 33.68, '很漂亮': 60.16}, '质量': {'噪声': 44.06, '噪音': 68.36, '声音': 84.91, '挺好': 67.42, '质量': 81.72}}"
966,panasonic/松下, MX-GS1,"{'功能': {'出汁': 49.41, '米粒': 27.41, '绞肉': 56.02, '菜汁': 44.95, '榨汁机': 61.37, '苹果泥': 48.81, '蔬菜汁': 51.63}, '服务': {'包装': 72.61, '客服': 52.07, '态度': 35.94, '果泥': 63.18, '说明书': 57.69, '服务态度': 66.27}, '款式': {'手感': 64.99}, '质量': {'噪音': 68.56, '声音': 79.4, '开关': 58.24, '挺好': 53.47, '质量': 76.85}}"
967,panasonic/松下, MX-S401,"{'功能': {}, '质量': {'声音': 56.85, '质量': 50.32}}"
968,panasonic/松下, MX-GX1061,"{'功能': {'功率': 42.87, '垫圈': 7.59, '果汁': 67.03, '榨汁': 72.76, '渣渣': 53.07, '米粉': 61.74, '米粒': 5.99, '纸盒': 0.0, '芝麻': 38.84, '虾皮': 67.93, '豆子': 53.03, '豆浆': 52.11, '转速': 73.05, '软垫': 0.0, '果汁机': 49.04, '胡萝卜': 53.13, '豆浆渣': 51.17, '速度快': 55.49}, '服务': {'信用': 61.03, '包装': 92.87, '卖家': 84.1, '发票': 75.18, '好评': 73.01, '客服': 79.51, '店主': 56.07, '店家': 77.99, '店铺': 52.76, '态度': 82.59, '果泥': 51.73, '纸箱': 0.0, '保修单': 28.65, '外包装': 61.31, '实体店': 53.12, '说明书': 58.29, '售后服务': 55.79, '服务态度': 84.78}, '款式': {'塑料': 70.81, '外型': 53.33, '外形': 77.08, '外表': 49.13, '大小': 80.26, '手感': 65.54, '按键': 42.09, '机身': 63.84, '样式': 51.55, '款式': 84.52, '白色': 51.29, '颜值': 83.77, '风格': 30.88, '很漂亮': 73.17}, '质量': {'划痕': 34.92, '商品': 72.03, '噪声': 71.73, '噪音': 84.09, '声音': 85.03, '实物': 71.02, '工艺': 75.26, '底座': 46.93, '很沉': 47.8, '性能': 59.87, '挺好': 80.45, '气味': 51.8, '环保': 60.21, '玻璃': 89.08, '瑕疵': 29.09, '用料': 74.81, '盖子': 0.0, '胶圈': 59.51, '质量': 92.58, '零件': 31.46, '不锈钢': 58.4, '塑料味': 0.0, '电源线': 50.1}}"
969,panasonic/松下, MX-PSC101G1,"{'功能': {}, '服务': {'包装': 75.07, '卖家': 55.54, '客户': 58.81, '客服': 35.78, '态度': 63.97, '说明书': 58.88, '服务态度': 74.57, '问题解答': 42.96}, '款式': {'尺寸': 49.38, '很漂亮': 60.81}, '质量': {'声音': 51.66, '性能': 60.49, '玻璃': 30.19, '质量': 80.49}}"
970,panasonic/松下, MX-SS40,"{'功能': {'出汁': 50.27, '切丝': 38.72, '剁肉': 0.0, '果汁': 71.74, '用途': 66.65, '稀饭': 13.27, '纸盒': 0.0, '绞肉': 56.62, '蒜泥': 17.89, '蔬菜': 51.21, '豆浆': 52.61, '辅食': 39.47, '很给力': 53.67, '果汁机': 50.13, '榨汁机': 31.28, '蔬菜泥': 54.12, '速度快': 56.16, '实用功能': 31.22}, '服务': {'包装': 82.02, '包裹': 59.25, '卖家': 67.55, '客服': 74.01, '店家': 53.72, '态度': 72.86, '果泥': 63.71, '外包装': 66.61, '说明书': 59.46, '服务态度': 72.76}, '款式': {'外形': 55.5, '外表': 50.18, '大小': 58.26, '手感': 72.22, '样式': 52.76, '升级版': 41.75, '第一印象': 25.23}, '质量': {'刀头': 77.59, '噪音': 51.01, '声音': 36.27, '实物': 58.22, '粗细': 36.86, '质量': 81.84, '实用性': 61.52, '节省时间': 0.0}}"
971,panasonic/松下, MX-XC501,"{'服务': {'包装': 65.54}, '款式': {'大小': 58.92}, '质量': {'声音': 57.05, '玻璃': 54.94, '质量': 50.57}}"
972,panasonic/松下, MX-XC701,"{'功能': {'功率': 33.94, '水果': 60.34, '芹菜': 19.81, '饺子': 53.35}, '服务': {'包装': 65.74, '店家': 54.21, '态度': 38.49, '服务态度': 33.75}, '款式': {'大小': 59.56, '颜色': 59.59}, '质量': {'噪音': 60.3, '声音': 38.91, '挺好': 54.21, '玻璃': 68.79, '质量': 74.62, '实用性': 34.68}}"
973,panasonic/松下, MX-ZX1800,"{'功能': {'功率': 81.76, '干粉': 38.5, '果汁': 83.77, '果肉': 56.33, '核桃': 31.59, '橙子': 26.3, '橙汁': 52.47, '破壁': 34.24, '绿豆': 23.17, '芝麻': 39.39, '蒸笼': 0.0, '豆子': 54.08, '豆浆': 75.61, '豆渣': 49.68, '转速': 73.41, '食物': 63.73, '鱼汤': 50.88, '芝麻酱': 39.76, '速度快': 40.01, '胡萝卜汁': 41.29}, '服务': {'包装': 79.82, '包裹': 60.09, '卖家': 55.88, '口碑': 55.64, '客服': 52.39, '店家': 54.69, '态度': 74.72, '果泥': 52.43, '赠品': 74.15, '实体店': 54.06, '服务态度': 69.73}, '款式': {'体积': 57.46, '外型': 54.34, '超美': 0.0, '颜值': 86.78}, '质量': {'噪声': 44.95, '噪音': 79.7, '声音': 87.54, '性能': 74.61, '挺好': 54.57, '档次': 37.01, '浆汁': 23.22, '用料': 63.06, '蒸锅': 35.83, '质量': 78.63, '面板': 8.1, '实用性': 62.09, '沉淀物': 0.0, '心理准备': 0.0}}"
974,panasonic/松下, mx-ss1,"{'功能': {'出汁': 36.22, '功率': 79.15, '南瓜': 47.36, '成份': 0.0, '打蛋': 57.31, '效率': 42.9, '果汁': 82.06, '果肉': 70.51, '核桃': 32.47, '梨汁': 49.41, '榨汁': 80.26, '橙汁': 68.63, '水果': 60.87, '渣渣': 58.8, '牛肉': 31.65, '用途': 67.22, '电路': 0.0, '米粉': 50.88, '米糊': 80.07, '绞肉': 83.57, '美食': 44.1, '肉松': 65.93, '肉馅': 68.99, '肥肠': 35.31, '芹菜': 30.92, '苹果': 72.51, '菠萝': 42.18, '蒜末': 35.24, '蔬菜': 69.12, '虾皮': 40.39, '调档': 0.0, '豆浆': 53.1, '转数': 41.28, '转速': 66.81, '辅食': 86.3, '雪糕': 26.25, '食物': 78.87, '香蕉': 52.24, '鸡肉': 0.0, '鸡蛋': 7.81, '土豆泥': 69.29, '小米粥': 51.62, '很给力': 76.91, '打蛋器': 52.68, '打鸡蛋': 54.23, '果汁机': 51.19, '榨汁机': 74.77, '水果汁': 49.96, '火龙果': 43.54, '玉米粒': 0.0, '绞肉机': 44.87, '胡萝卜': 64.86, '芒果汁': 45.26, '苹果汁': 55.67, '苹果泥': 81.97, '蔬菜泥': 73.49, '西瓜汁': 67.65, '香蕉泥': 48.18, '黑芝麻': 36.45, '单手操作': 7.81, '省时省力': 54.21, '蔬菜水果': 36.56}, '服务': {'买家': 71.63, '包装': 94.9, '包裹': 77.76, '卖家': 80.72, '发票': 57.4, '口碑': 56.95, '客服': 85.81, '小雪': 0.0, '差评': 0.0, '店家': 85.15, '态度': 87.88, '果泥': 83.59, '淘宝': 56.47, '盒子': 0.0, '箱子': 0.0, '纸箱': 0.0, '虾米': 0.0, '外包装': 62.11, '实体店': 54.98, '产品包装': 50.77, '其他配件': 0.0, '售后服务': 56.41, '有问必答': 66.84, '服务态度': 85.8}, '款式': {'体积': 72.85, '分量': 40.13, '塑料': 44.92, '外型': 55.33, '外形': 56.21, '外表': 51.19, '大小': 72.79, '手感': 88.24, '按键': 42.86, '机身': 52.51, '档位': 59.21, '款式': 69.96, '神器': 52.22, '颜值': 90.97, '黑色': 48.68, '很漂亮': 61.46, '产品设计': 52.11, '外观设计': 56.12}, '质量': {'刀头': 86.46, '划痕': 44.01, '商品': 84.26, '噪声': 75.03, '噪音': 76.97, '声音': 79.52, '实物': 81.01, '寿命': 47.22, '工程': 0.0, '开关': 59.1, '性能': 78.84, '成品': 59.56, '挺好': 85.53, '烧掉': 0.0, '牛逼': 20.55, '物件': 50.05, '玻璃': 56.17, '用料': 81.36, '眼光': 28.33, '碎成': 0.0, '穿着': 12.28, '罐子': 51.92, '胶圈': 13.37, '自然': 46.36, '质量': 94.49, '塑料杯': 49.75, '实用性': 73.54, '清洗液': 45.27, '退换货': 0.0}}"
975,peskoe/半球,HB-J103,"{'功能': {'转速': 30.78}, '服务': {'服务态度': 35.04}, '款式': {'款式': 57.3}, '质量': {'商品': 59.86, '噪声': 45.8, '噪音': 51.33, '声音': 79.64, '实物': 58.86, '性能': 61.11, '挺好': 67.68, '气味': 52.45, '质量': 31.9}}"
976,peskoe/半球,HB-K805,"{'功能': {'早餐': 48.2, '核桃': 33.34, '梨汁': 50.34, '渣渣': 53.73, '米糊': 54.88, '粉末': 49.74, '芝麻': 39.93, '蔬菜': 36.56, '豆浆': 84.47, '转速': 67.19, '食材': 47.84, '食物': 53.56, '功能性': 62.4, '西瓜汁': 53.85}, '服务': {'包装': 85.96, '好评': 66.52, '客服': 52.71, '店家': 66.86, '态度': 53.24, '实体店': 69.03, '有问必答': 67.75, '服务态度': 78.69}, '款式': {'外型': 56.29, '外形': 71.8, '样式': 53.94, '款式': 75.57, '外观设计': 57.05}, '质量': {'噪音': 51.64, '声音': 77.04, '开关': 59.95, '性能': 61.72, '挺好': 67.94, '玻璃': 69.7, '质量': 87.15, '软绵': 26.45, '实用性': 62.66, '稳定性': 55.68}}"
977,peskoe/半球,HB-K808,
978,philips/飞利浦, HR1604,"{'功能': {'出汁': 51.12, '功率': 86.39, '发糕': 11.96, '大米': 50.97, '搅碎': 45.54, '效率': 54.35, '果汁': 74.57, '榨汁': 73.11, '水果': 70.36, '用途': 42.44, '米糊': 74.86, '绞肉': 57.21, '罗卜': 0.0, '肉糜': 10.54, '芒果': 66.69, '苹果': 77.07, '草莓': 66.61, '菜泥': 59.13, '蒜泥': 27.89, '蓝莓': 23.63, '蔬菜': 62.73, '虾皮': 41.63, '转速': 73.76, '辅食': 83.39, '食材': 31.24, '食物': 64.3, '不方便': 25.23, '傻瓜式': 11.96, '土豆泥': 58.01, '小米粥': 58.29, '果汁机': 33.23, '榨汁机': 33.45, '火龙果': 47.44, '胡萝卜': 44.21, '苹果泥': 79.43, '西红柿': 45.28, '西蓝花': 42.25, '速度快': 71.07, '单手操作': 17.81}, '服务': {'三洋': 0.0, '包装': 88.58, '包邮': 52.62, '卖家': 74.51, '发票': 58.5, '好评': 77.25, '客服': 89.55, '差评': 0.0, '店家': 67.21, '态度': 94.41, '果泥': 80.65, '淘宝': 39.29, '盒子': 0.0, '赠品': 58.57, '保修单': 38.65, '包装盒': 0.0, '外包装': 55.52, '实体店': 55.87, '说明书': 60.03, '客户服务': 32.37, '服务态度': 90.88}, '款式': {'个子': 40.02, '体积': 73.66, '外形': 72.29, '手感': 72.71, '按键': 43.6, '机身': 47.68, '档位': 45.55, '金额': 0.0, '颜色': 60.08, '体积小': 27.61}, '质量': {'刀头': 83.71, '发烫': 45.05, '商品': 72.52, '噪音': 83.17, '声音': 71.63, '外壳': 37.53, '实物': 71.52, '性能': 62.32, '挺好': 84.6, '缝隙': 53.71, '质量': 90.37, '马达': 39.36, '黏性': 0.0, '便宜货': 35.37, '塑料杯': 51.51, '实用性': 43.94, '灵敏度': 0.0, '马达很': 52.99, '安全系数': 32.49}}"
979,philips/飞利浦, HR1609,"{'质量': {'声音': 51.89, '质量': 50.83}}"
980,philips/飞利浦, HR1626,{'服务': {'包装': 66.12}}
981,philips/飞利浦, HR1608/03,"{'功能': {'辅食': 63.33, '速度快': 56.81}, '服务': {'包装': 75.23, '包邮': 59.29, '卖家': 56.22, '态度': 64.43, '箱子': 0.0, '服务态度': 69.92}, '款式': {}, '质量': {'噪音': 68.95, '声音': 71.9, '挺好': 72.18, '用料': 63.77, '质量': 78.76, '道具': 31.66}}"
982,recolte/丽克特,RCP-2,{'质量': {'商品': 32.64}}
983,philips/飞利浦, HR2056,"{'功能': {'功率': 68.35, '果汁': 72.0, '果肉': 35.67, '榨汁': 54.64, '白芝麻': 35.09, '苹果汁': 56.45}, '服务': {'包装': 70.37, '客户': 59.78, '客服': 53.03, '态度': 64.65, '提琴': 23.77, '果泥': 53.12, '钢琴': 9.88, '外包装': 44.0, '服务态度': 74.75}, '款式': {'大小': 60.2, '颜色': 61.06, '外观设计': 66.97}, '质量': {'吸盘': 33.28, '噪音': 60.54, '声响': 38.5, '声音': 84.66, '工艺': 57.86, '挺好': 54.93, '杯盖': 60.73, '质量': 79.26, '马达': 41.63}}"
984,philips/飞利浦, HR2062,"{'款式': {'颜值': 64.97}, '质量': {'噪音': 69.15, '质量': 51.08}}"
985,smeg,SMF 01,{'功能': {}}
986,philips/飞利浦, HR2100,"{'功能': {'功率': 68.67, '效率': 55.22, '果汁': 74.82, '果肉': 57.1, '梨子': 18.95, '榨汁': 80.6, '橙汁': 64.38, '水果': 61.39, '用途': 57.3, '纤维': 56.83, '草莓': 46.44, '转速': 57.4, '辅食': 33.56, '食材': 48.69, '发动机': 0.0, '果汁机': 66.01, '果蔬汁': 44.89, '榨汁机': 79.34, '纤维素': 0.0, '肉丸子': 43.41, '西瓜汁': 55.5}, '服务': {'包装': 87.78, '卖家': 56.56, '好评': 62.91, '客服': 65.37, '差评': 0.0, '店家': 55.63, '态度': 82.42, '换货': 0.0, '提琴': 11.27, '钢琴': 20.99, '店主人': 49.18, '说明书': 71.81, '售后服务': 57.03, '服务态度': 74.93}, '款式': {'体积': 58.45, '塑料': 45.71, '外型': 69.48, '外形': 56.9, '够大': 45.44, '大小': 75.64, '旧款': 27.55, '样式': 55.07, '档位': 47.22, '款式': 77.96, '紫色': 45.18, '红色': 64.36, '色差': 43.14, '色彩': 41.3, '颜值': 65.42, '颜色': 93.97, '很漂亮': 82.61}, '质量': {'假货': 0.0, '刀头': 63.3, '商品': 61.12, '噪声': 54.37, '噪音': 89.04, '声音': 89.95, '实物': 72.01, '寿命': 49.32, '底座': 41.42, '很响': 35.6, '性能': 62.91, '挺好': 80.66, '液体': 35.37, '物美': 49.49, '盖子': 0.0, '质量': 89.18, '零件': 33.61, '马达': 43.92, '塑料味': 0.0, '大清洗': 23.22, '试一下': 49.01, '食品级': 20.55, '马力大': 29.44, '响应速度': 0.0}}"
987,robot-coupe/罗伯特.库伯,MICROMIX,
988,philips/飞利浦, HR2100/40,
989,philips/飞利浦, HR2166,"{'功能': {'用途': 57.92, '很给力': 54.36}, '质量': {'滤网': 39.37, '质量': 51.32, '音响': 12.28}}"
990,philips/飞利浦, HR3653,
991,rosenstein&sohne,NC2406,
992,philips/飞利浦, hr2101,"{'功能': {'功率': 56.55, '芝麻': 40.47, '豆浆': 53.58, '榨汁机': 61.92}, '服务': {'包装': 70.55, '服务态度': 56.8}, '款式': {'样式': 56.18, '颜色': 61.54}, '质量': {'噪音': 77.31, '声音': 77.17, '挺好': 55.64, '气味': 53.11, '玻璃': 57.37, '电线': 48.25, '质量': 51.57}}"
993,philips/飞利浦, hr2872,"{'功能': {'便携': 41.1, '功率': 43.53, '姜蓉': 0.0, '果汁': 84.03, '榨汁': 76.87, '水果': 70.8, '用途': 28.57, '糊状': 41.17, '芒果': 49.48, '草莓': 48.25, '豆浆': 54.06, '转速': 57.88, '辅食': 63.88, '食物': 31.61, '很给力': 70.72, '果汁机': 52.21, '榨汁机': 62.46, '水果汁': 51.97, '西瓜汁': 56.3, '操作系统': 0.0}, '服务': {'包装': 87.94, '卖家': 68.06, '发票': 64.94, '口碑': 58.28, '天猫': 48.87, '好评': 69.87, '客服': 78.07, '差评': 0.0, '店家': 73.21, '态度': 77.92, '果泥': 53.79, '赠品': 42.77, '保修单': 48.65, '外包装': 48.78, '实体店': 56.74, '说明书': 60.59, '售后服务': 57.63, '有问必答': 54.6, '服务态度': 75.1}, '款式': {'体积': 80.25, '分量': 40.79, '塑料': 53.09, '外型': 70.24, '外形': 77.55, '大小': 87.16, '容积': 53.9, '机身': 64.26, '耐看': 22.55, '颜值': 65.87, '颜色': 74.34, '小型机': 0.0, '很漂亮': 80.27}, '质量': {'保险': 20.55, '噪音': 60.78, '声音': 84.78, '挺好': 72.42, '质量': 87.81, '超声': 0.0, '安全得': 0.0, '实用性': 63.78}}"
994,philips/飞利浦, hr2874,"{'功能': {'功率': 68.98, '效率': 55.67, '果汁': 72.26, '榨汁': 55.16, '牛肉': 53.33, '猪肉': 0.0, '绞肉': 36.52, '草莓': 56.46, '豆浆': 54.53, '榨汁机': 35.19}, '服务': {'包装': 82.17, '卖家': 56.89, '发票': 59.58, '口碑': 59.63, '客服': 78.25, '店家': 56.09, '态度': 82.94, '提琴': 36.27, '果泥': 68.64, '淘宝': 58.3, '盒子': 0.0, '钢琴': 32.1, '说明书': 43.66, '服务态度': 79.68}, '款式': {'体积': 59.41, '大小': 61.45, '手感': 53.72}, '质量': {'刀头': 40.66, '商品': 61.73, '噪音': 81.07, '声音': 80.5, '挺好': 78.72, '质量': 84.15, '密封圈': 0.0, '高品质': 26.57}}"
995,ranbem/瑞本,767S,"{'功能': {'功率': 73.22, '智能': 44.43, '果汁': 72.52, '水果': 61.9, '牛肉': 58.16, '用途': 43.47, '破壁': 47.34, '芝麻': 41.02, '萝卜': 52.21, '蔬果': 26.89, '豆浆': 70.35, '转数': 42.87, '转速': 58.35}, '服务': {'包装': 79.08, '卖家': 70.53, '好评': 63.45, '态度': 39.2, '服务态度': 76.66}, '款式': {'外形': 57.58, '外表': 52.17, '够大': 47.12, '大小': 62.05, '按键': 56.94, '神器': 53.51, '颜值': 66.32, '颜色': 62.01, '容量大': 49.42, '触摸屏': 17.5}, '质量': {'噪音': 52.26, '声音': 86.06, '实物': 60.11, '挺好': 68.46, '盖子': 0.0, '质量': 80.86, '马力大': 37.13}}"
